Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          29829280 function calls (29824579 primitive calls) in 14.055 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1295    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:293(axes)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1634    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1493(_get_font)
       59    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:46(set_total_particle)
    94/88    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:833(_unstale_viewLim)
       30    0.000    0.000    0.025    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:287(draw)
      584    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      628    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1929(get_matrix)
       42    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       61    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/path.py:99(__init__)
      312    0.000    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1212(_internal_update)
      151    0.000    0.000    0.010    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/markers.py:225(__init__)
      310    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
       24    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:463(transformed)
       64    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:447(update_position)
       19    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/patches.py:746(get_patch_transform)
       45    0.000    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:1336(update_from)
